Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Make,Model,Number_of_Engines,Engine_Type,Purpose_of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Report_Status
20200509X11853,Accident,CEN20LA173,5/9/20,"Haskell, OK",United States,35.864167,-95.655556,2K9,HASKELL,Non-Fatal,Substantial,Airplane,Titan,TITAN TORNADO S,0,Unknown,Personal,0,1,0,0,VMC,DESCENT,Preliminary
20200508X55730,Accident,CEN20CA176,5/8/20,"San Antonio, TX",United States,29.723334,-98.694444,5C1,Unknown,Unavailable,Substantial,Airplane,North American,SNJ,0,Unknown,Personal,0,0,0,0,Unknown,Unknown,Preliminary
20200507X60215,Accident,CEN20CA174,5/6/20,"Gonazales, TX",United States,29.529167,-97.464167,T20,Roger M Dreyer Memorial,Non-Fatal,Substantial,Airplane,CESSNA,T240,1,Unknown,Personal,0,0,0,2,VMC,Unknown,Preliminary
20200509X85739,Accident,ERA20CA175,5/3/20,"Shirley, NY",United States,40.828056,-72.865556,HWV,BROOKHAVEN,Non-Fatal,Substantial,Airplane,Waco,QCF,1,Unknown,Personal,0,0,0,1,VMC,Unknown,Preliminary
20200504X54503,Incident,ENG20IA031,5/3/20,"Clewiston, FL",United States,26.735,-81.051111,Unknown,Unknown,Incident,Unknown,Helicopter,AIRBUS HELICOPTERS,AS350,1,Turbo Shaft,Personal,0,0,0,1,Unknown,Unknown,Preliminary
20200502X81549,Accident,CEN20LA168,5/2/20,"PALMYRA, IL",United States,39.408889,-89.990277,5K1,Zelmer Memorial Airpark Inc,Fatal,Destroyed,Airplane,Yakovlev,YAK 52,1,Reciprocating,Personal,1,0,0,0,VMC,MANEUVERING,Preliminary
20200502X73540,Accident,CEN20LA167,5/2/20,"HOUSTON, TX",United States,29.947222,-95.395833,Unknown,Unknown,Fatal,Substantial,Helicopter,MD HELICOPTER,369,1,Turbo Shaft,Public Aircraft - Local,1,1,0,0,VMC,UNKNOWN,Preliminary
20200430X12813,Accident,CEN20CA164,4/30/20,"ANOKA, MN",United States,45.295555,-93.173611,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Cessna,A185,1,Reciprocating,Personal,0,0,1,0,VMC,LANDING,Factual
20200507X54716,Accident,ANC20CA045,4/30/20,"Anchorage, AK",United States,61.215833,-149.841944,MRI,MERRILL FIELD,Non-Fatal,Substantial,Airplane,GRUMMAN,G44,2,Unknown,Personal,0,0,0,3,VMC,Unknown,Preliminary
20200429X05114,Accident,WPR20LA133,4/28/20,"Lodi, CA",United States,38.196111,-121.248889,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Cessna,177,1,Reciprocating,Personal,0,0,1,0,VMC,CRUISE,Preliminary
